temperature,humidity,label
10,30,1
60,30,1
30.98,41.82,0
29.27,41.62,0
60,30,1
10,80,1
28.92,40.97,0
10,80,1
60,30,1
10,80,1
60,30,1
29.09,44.64,0
30.1,42.12,0
28.89,44.93,0
29.01,42.33,0
10,30,1
30.23,40.59,0
28.36,44.83,0
29.51,42.94,0
30.67,44.43,0
60,80,1
29.42,42.79,0
29.79,42.94,0
10,80,1
28.92,43.0,0
10,30,1
60,30,1
28.2,41.5,0
10,30,1
10,80,1
29.43,42.47,0
28.71,42.86,0
10,30,1
60,30,1
30.76,44.75,0
10,30,1
10,30,1
29.07,43.1,0
60,80,1
60,80,1
29.15,41.52,0
30.35,40.4,0
60,80,1
30.29,40.41,0
28.43,44.74,0
60,30,1
10,80,1
10,30,1
10,80,1
60,30,1
10,80,1
28.97,41.58,0
10,30,1
10,80,1
60,80,1
60,80,1
10,80,1
60,30,1
29.02,43.76,0
60,30,1
60,30,1
28.43,40.47,0
29.65,42.07,0
10,80,1
10,80,1
10,80,1
10,30,1
28.96,40.29,0
60,30,1
60,80,1
10,80,1
60,30,1
10,30,1
29.84,41.59,0
28.15,43.06,0
60,30,1
28.88,43.24,0
28.71,44.02,0
60,80,1
10,30,1
29.3,44.09,0
30.05,41.18,0
10,30,1
28.42,42.34,0
10,80,1
29.81,43.83,0
29.33,42.35,0
10,30,1
28.09,40.1,0
30.11,42.54,0
60,30,1
30.57,44.28,0
10,30,1
10,80,1
30.97,40.33,0
10,80,1
60,30,1
28.59,42.14,0
30.28,41.05,0
28.65,43.73,0
10,30,1
28.47,41.65,0
60,30,1
29.34,40.49,0
60,80,1
10,80,1
10,80,1
28.45,40.7,0
60,30,1
28.99,41.41,0
28.24,43.14,0
60,30,1
28.38,41.96,0
28.3,44.88,0
29.75,41.46,0
60,80,1
30.46,43.59,0
60,80,1
29.41,44.62,0
10,80,1
29.52,40.76,0
60,30,1
10,80,1
60,30,1
10,30,1
10,80,1
30.96,41.2,0
28.25,41.11,0
29.13,44.66,0
29.6,42.63,0
29.53,41.83,0
29.36,40.19,0
30.23,41.92,0
10,30,1
60,30,1
60,30,1
28.99,40.69,0
29.56,41.27,0
30.8,43.01,0
10,80,1
30.63,41.99,0
28.03,41.64,0
30.65,42.18,0
29.16,43.84,0
60,30,1
30.81,41.68,0
29.6,40.11,0
10,30,1
10,30,1
30.95,43.0,0
60,80,1
60,80,1
60,80,1
10,80,1
10,30,1
29.64,44.87,0
60,80,1
30.29,42.71,0
30.23,40.16,0
10,80,1
28.3,42.54,0
10,30,1
60,30,1
10,30,1
30.76,44.55,0
29.81,44.6,0
60,80,1
60,80,1
29.14,42.1,0
29.08,40.88,0
10,80,1
30.05,42.79,0
28.82,40.66,0
28.64,44.9,0
30.49,42.03,0
30.06,44.58,0
60,30,1
60,80,1
28.15,41.31,0
29.87,42.39,0
60,80,1
10,80,1
29.77,42.31,0
28.55,42.09,0
30.14,42.06,0
29.83,44.17,0
28.86,40.9,0
30.86,40.7,0
28.32,43.68,0
60,80,1
28.2,41.08,0
29.7,42.59,0
60,30,1
30.66,40.36,0
29.78,43.09,0
30.2,42.68,0
30.47,43.09,0
30.65,43.6,0
29.88,41.44,0
29.12,42.01,0
10,30,1
28.62,41.58,0
60,30,1
60,80,1
29.62,43.04,0
10,30,1
10,30,1
29.52,43.84,0
10,30,1
28.02,44.11,0
28.25,44.07,0
10,30,1
29.49,41.96,0
29.25,40.07,0
10,30,1
28.82,43.37,0
30.15,42.82,0
10,80,1
30.74,44.58,0
60,80,1
60,30,1
10,30,1
30.8,40.39,0
60,80,1
28.17,41.64,0
29.34,44.33,0
10,30,1
60,30,1
10,30,1
28.33,41.36,0
60,80,1
28.37,44.55,0
60,30,1
30.22,40.43,0
28.67,43.37,0
60,80,1
10,80,1
30.67,43.12,0
28.57,43.4,0
30.92,44.17,0
29.9,41.45,0
30.36,40.41,0
60,80,1
29.53,40.18,0
30.69,42.13,0
60,80,1
10,30,1
60,30,1
29.09,41.68,0
30.67,41.21,0
10,30,1
30.16,42.25,0
30.03,41.73,0
29.82,43.88,0
10,80,1
10,80,1
60,80,1
29.15,42.56,0
30.71,40.97,0
60,80,1
30.83,43.91,0
28.01,43.75,0
29.46,43.72,0
29.37,40.27,0
29.63,44.13,0
28.72,44.09,0
28.81,41.21,0
10,80,1
28.78,40.06,0
60,30,1
10,80,1
10,30,1
60,80,1
10,30,1
29.25,42.04,0
28.96,43.86,0
60,30,1
10,80,1
10,80,1
60,30,1
29.84,43.36,0
29.79,41.05,0
10,30,1
10,30,1
30.94,44.05,0
30.19,43.59,0
28.58,44.77,0
10,30,1
29.83,41.51,0
28.12,42.05,0
60,80,1
30.56,42.17,0
60,30,1
30.13,41.92,0
60,80,1
30.31,42.61,0
30.78,41.2,0
28.95,40.85,0
28.0,44.31,0
10,80,1
60,30,1
60,30,1
29.08,41.05,0
60,80,1
10,80,1
29.96,40.24,0
29.26,42.25,0
29.02,40.2,0
60,80,1
10,30,1
60,30,1
28.3,44.57,0
60,80,1
60,30,1
60,30,1
30.97,44.91,0
10,30,1
60,80,1
60,30,1
10,30,1
30.26,40.02,0
10,30,1
28.27,42.36,0
30.47,40.65,0
29.34,44.56,0
60,30,1
10,30,1
29.66,44.4,0
28.67,41.16,0
28.64,41.8,0
29.82,41.07,0
60,30,1
10,30,1
30.64,42.91,0
60,80,1
60,80,1
